ts_code,exchange,question_id,question_time,answer_time,question,answer,answer_class,theme,story_read,proof_needed,credibility,source_url,source_type
000528.SZ,szse,2264114061372530688,2026-05-09,2026-05-14,您好，柳工是个好企业，多年为工程设备国产化实现了突破。请问根据我司可转债应用情况，我司在智慧工厂和前沿技术投入相对较大，能简单说说近期我司的最新成果吗？未来在哪些方面会有新的突破，谢谢。,您好！经证监会核准，公司于2023年发行了规模30亿元可转债，其中2亿元募集资金投向工程机械前沿技术项目，主要服务于公司“全面数智化”战略。公司多年来围绕“电动化、智能化、数字化、无人化、互联化”等五化新技术保持了高强度的研发投入，关键技术研究屡获突破，攻克电控、电池管理系统等电动核心技术，牵头制定了电动工程机械国家标准和行业标准；在工程机械智能施工机器人领域取得突破，发布多款无人驾驶工程机械；发布柳工智慧矿山系统2.0，为客户提供数字、智能的施工解决方案等，公司先后获得国家科技进步奖7次，获得国际红点奖2次、鲁班奖7次，省部级科技奖60余项。未来公司将坚持“全面数智化”战略引领，以技术领先为核心，持续加大研发投入，深化智能化、电动化、数字化技术创新，加快推进关键核心技术自主可控，打造具有全球竞争力的产品与技术解决方案。谢谢！,substantive,unclassified,official interaction without a mapped investable theme,manual review required,higher-official-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2264114061372530688,cninfo_irm
000528.SZ,szse,2266263434693033984,2026-05-12,2026-05-14,董秘您好，请问截至本月10日/20日的股东总户数是多少？,您好！公司将在定期报告中披露股东户数，请关注公司定期报告。谢谢！,substantive,unclassified,official interaction without a mapped investable theme,manual review required,higher-official-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2266263434693033984,cninfo_irm
000528.SZ,szse,2263926319762087936,2026-05-09,2026-05-14,请问柳工目前在海外的市场主要是哪些国家和地区？未来的一到两年内，业务的增长点主要在哪里？,您好！公司自2002年开启国际化的进程，二十余年来始终坚持稳健的战略规划和业务布局，目前海外业务包括九大区域，覆盖全球180多个国家和地区，形成了覆盖全球重点市场、辐射多区域、服务本地化的营销网络、服务体系与配件供应等全产业链能力运作格局。目前国际工程机械总体需求呈复苏态势，欧美等成熟市场趋于稳定，而非洲、拉美、南亚等新兴市场区域保持了较高需求增速。十五五期间，公司将继续以客户为中心，推动产品、服务、品牌在全球市场的协同发展，实现从“全面国际化”到“全球化”的战略升级。谢谢！,substantive,unclassified,official interaction without a mapped investable theme,manual review required,higher-official-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2263926319762087936,cninfo_irm
000528.SZ,szse,2262826601984573440,2026-05-07,2026-05-12,你好，我司柳工AI2.0和以前有什么进步？对我司未来人工智能发展有什么计划？,您好！公司一代AI重点偏向平台搭建，应用上主要是知识问答等交互类基础应用。柳工计划新一代AI产品将融合工程机械的业务知识与技术积累，深度推进人工智能与先进制造的全域融合。柳工AI2.0贯穿市场洞察、解决方案、研发设计、服务与配件产品全生命周期流程，打造新一代车载AI产品，将为全球客户提供更高效、精准、全面、贴心的AI数智化解决方案，以技术创新驱动产业升级，推动工程机械行业智能变革。谢谢！,substantive,unclassified,official interaction without a mapped investable theme,manual review required,higher-official-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2262826601984573440,cninfo_irm
000528.SZ,szse,2262825966320721920,2026-05-07,2026-05-12,你好能介绍下柳工第26届技术创新大会的主要成果吗？在哪方面有何进展？,您好！公司本次技术创新大会主题为“‌战略新篇 AI赋能‌”，全面展示了柳工“十四五”期间在技术创新、数智化转型和高质量发展方面的最新成果。电动化、无人驾驶、数字化、AI等十大核心技术协同发展，推动产品综合竞争力持续增强。“十五五”期间，柳工将系统性升级“三全战略”，把科技创新作为核心动力，把自主可控作为发展根基。加快新能源、数字化、智能化等领域的源头创新，推动工程装备高端化、智能化、绿色化转型，加速形成新质生产力。谢谢！,substantive,unclassified,official interaction without a mapped investable theme,manual review required,higher-official-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2262825966320721920,cninfo_irm
000528.SZ,szse,2261812044773928960,2026-05-06,2026-05-08,柳工原董事长曾光安先生于进博会期间曾指出：新基建离不开工程机械，大数据中心5G基站等，都需要工程机械。这句话展现柳工人的远见！美国的卡特彼勒也给出了他的答案：切入AI基建，在手订单630亿美元创百年纪录，股价单日涨10%创历史新高—AI数据中心的巨大需求，已成为百年基建巨头的新活水。新时代柳工是否愿切入AI时代“新基建蓝海”？是否实际评估可行性？是否付诸行动？把握时代再创广西龙头国企辉煌！,您好！感谢您的关注！新基建大发展催生的需求正持续给工程机械行业带来巨大的市场机会，公司已关注到AI数据中心建设带来的工程机械需求，也在评估拓展各种应用场景的可能性。公司未来要做的不是简单复制卡特彼勒，而是以自身土方机械设备竞争优势及电动化技术积累为突破口，通过差异化路线，力争实现弯道超车，助力广西工业高端化、智能化、国际化的战略目标实现。谢谢！,directional-but-unquantified,compute-power,new-demand adjacency around power + computing infrastructure,"needs revenue, order, or project economics before valuation uplift",medium-official-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2261812044773928960,cninfo_irm
000528.SZ,szse,2257924309097066496,2026-04-30,2026-05-07,你好，请问我司人工智能大模型柳工大脑运行的进展如何，是否已经实现了在我司无人矿卡等智能无人设备上的应用？,您好！公司发布的“柳工大脑—柳工大模型应用平台”，基于在行业的深厚沉淀，能够快速催生各类垂直领域大模型应用，为产品创新、生产管理、客户服务等各个环节提供全方位支持，目前已迭代到2.0版本。同时，公司的智慧矿山系统4.0已经实现了矿山的智能化运营管理，目前已在一些矿山推广使用，遥控推土机、遥控挖掘机也在矿山实现了应用，无人驾驶宽体车也在新疆完成了批量交付使用。目前我们还在开展技术攻关，加速“穿、爆、采、运、排”等关键环节的其他遥控产品或无人产品落地，帮助客户提升矿山施工的本质安全并实现降本增效。请您注意投资风险。谢谢！,substantive,unclassified,official interaction without a mapped investable theme,manual review required,higher-official-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2257924309097066496,cninfo_irm
000528.SZ,szse,2257629451002261504,2026-04-30,2026-05-05,您好，请问我司近年来新能源产品销售比例明显增加，请问我司新能源类工程设备发展前景如何？技术储备如何？,您好！在区域冲突导致油价上涨的大背景下，近期全球客户对电动化产品询价大幅增加，同时在目前电池技术迭代加快及价格中枢持续下降的情况下，电动化产品在总TCO成本上相较燃油产品有明显优势，公司判断未来工程机械电动化将成为一个长期趋势。公司深耕电动化领域十余年，在产品和技术领域有长期积累，电动产品已得到市场的充分验证和认可。目前公司开发的十几条电动化产品线，涵盖装载机、挖掘机、矿卡、叉车、高机等全品类组合，未来公司将持续优化电动技术及补能方案、设备智慧管理方案和定制化产品组合，力求为全球客户打造最优质的全面解决方案。谢谢！,substantive,unclassified,official interaction without a mapped investable theme,manual review required,higher-official-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2257629451002261504,cninfo_irm
000528.SZ,szse,2257454285083353088,2026-04-30,2026-05-05,“公司始终把投资者利益放在首位……主动回应市场关切，与价值投资者共享公司发展红利”，纵观公司2024年10月至今的股价表现，完全与公司所述“共享公司发展成果”背道而驰（仅在分红上表现大为不够）。请问董秘：如此长时间的股价严重脱离其应有的价值，价值投资者利益得到了保护吗？（大盘重心上移，股价长期不涨反跌）,您好！公司近几年业绩稳定增长，连续现金分红比例长达二十多年，处于行业较高水平。公司十五五战略展示了良好的发展前景，目前公司生产经营正沿着这一战略有序推进，公司一季度盈利水平（剔除汇兑损失增长26%）继续创历史新高。短期内不排除可转债对股价的影响。公司管理层有信心推动公司长期稳定发展，顺利实现战略目标。谢谢！,substantive,capital-allocation,capital-allocation quality narrative,needs realized return history or portfolio evidence,higher-official-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2257454285083353088,cninfo_irm
000528.SZ,szse,2257441194023034880,2026-04-30,2026-05-05,2025年全年各个季度累计计提资产减值高达8.667亿元，占当年净利润的54%，令人吃惊。高额的减值计提近几年来持续不断、没完没了，大大高出行业的正常现象。请问董秘：公司这种巨额的减值损失，有没有人为的因素以及失责追究？,您好！为实现高质量发展，公司一方面在近几个年度都个别减值计提了金额相对较大的不良资产，减值比例相对较高，资产质量在不断改善；同时公司制定和实施了严格的资产管理制度流程，避免今后出现类似的风险资产，公司还有严格的减值后续管理机制，对资产追索及相关人员进行严格追责。本年度公司减值比例将会明显降低。谢谢！,substantive,unclassified,official interaction without a mapped investable theme,manual review required,higher-official-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2257441194023034880,cninfo_irm
000528.SZ,szse,2258045839491674112,2026-05-01,2026-05-05,想问问董秘，柳工欧维姆去年营收和利润分别是多少？欧维姆属于什么概念？可类比上市公司有哪些？,您好！公司控股子公司欧维姆是中国预应力及相关领域技术的领跑者，产品主要包括锚固体系、缆索体系、减隔震体系、预应力施工及辅助设备四大类，是国内预应力产品体系最为齐全的代表性企业，常年在国内保持领先的市场占有率。曾先后六次获得国家科技进步奖，其中2015年获得国家科技进步一等奖。同行业上市公司有法尔胜、银龙股份、震安科技等，柳工欧维姆的产品线、规模和品牌影响力处于行业领先地位。预应力板块具体营收利润情况请您关注公司披露的定期报告。谢谢！,substantive,unclassified,official interaction without a mapped investable theme,manual review required,higher-official-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2258045839491674112,cninfo_irm
000528.SZ,szse,2255128517315604480,2026-04-27,2026-04-28,请问董秘：1、一季度营收增长但净利润下滑，核心是否为人民币升值导致的大额汇兑损失？该损失是否为一次性账面浮亏？2、剔除汇兑扰动后，公司一季度主业真实盈利同比大概变化多少3、目前电动化设备订单、销量是否持续加速，2026年电动产品渗透率有无明确目标4、一季度毛利率承压、国内价格战激烈，公司后续有哪些举措稳定和修复毛利率？5、海外收入占比持续提升，今年海外业务能否持续高增,"您好！
1、一季度公司短期受人民币对美元升值及其他小币种贬值影响，形成汇兑损失约1.65亿元，剔除汇兑损失，公司归母净利同比增速超过20%，为历史最好水平。今年以来公司坚持业财融合，业务为主，财务为辅，优化资产质量，改善现金流，坚持汇率风险中性原则，运用综合手段，平衡财务成本与汇率风险，目前4月单月的汇兑已形成正收益，优化效果逐步显现；
2、近期地缘冲突引发的油价飙升极大地刺激了电动化产品需求，客户询盘和订单量激增，2025年公司电动产品销量实现翻番，2026年的目标是电动产品销量继续翻倍增长；
3、公司坚持“增收与节支并举、结构优化与精细管理并重”的策略推动毛利率提升，一是持续加速全球化布局，提升海外业务占比，二是深化降本增效，建立多维度的成本管控体系，三是优化产品结构，提升高毛利产品渗透率;
4、2026年除部分区域外，全球工程机械市场尤其是新兴市场保持了较好的需求增速，一季度公司海外业务收入实现了超20%的同比增长，随着国际局势趋于稳定，原油价格逐步回落，海外市场稳定向好，公司有信心完成年度预算目标。谢谢！",substantive,unclassified,official interaction without a mapped investable theme,manual review required,higher-official-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2255128517315604480,cninfo_irm
000528.SZ,szse,2253133101306978304,2026-04-24,2026-04-28,公司一季度汇兑损失多少？往后有什么好的应对措施？,您好！2026年一季度，美元兑人民币整体呈震荡贬值，2月末起中东区域冲突持续升级，导致能源价格上涨，小币种总体呈贬值趋势，公司累计汇兑损失约1.65亿元。今年以来公司坚持业财融合，业务为主，财务为辅，优化资产质量，改善现金流，坚持汇率风险中性原则，运用综合手段，平衡财务成本与汇率风险，目前4月单月的汇兑已形成正收益，优化效果逐步显现。 谢谢！,substantive,unclassified,official interaction without a mapped investable theme,manual review required,higher-official-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2253133101306978304,cninfo_irm
000528.SZ,szse,2247127877921148928,2026-04-16,2026-04-18,请问董秘，平陆运河通航后能为柳工节约多少运输成本？,您好！平陆运河作为西部陆海新通道骨干工程，建成后将实现西江航道与北部湾国际枢纽港直接贯通，成为西南地区最短出海通道。对柳工这样的全球化企业来说将新增一条面向东南亚各国更经济的物流运输线路，有助于降低物流成本，提升区域的竞争能力。谢谢！,substantive,unclassified,official interaction without a mapped investable theme,manual review required,higher-official-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2247127877921148928,cninfo_irm
000528.SZ,szse,2244631118999924736,2026-04-13,2026-04-14,请问公司今年产品涨价情况，如有，产品的综合涨幅能否覆盖上游原材料的涨幅，谢谢！,您好！针对境内外市场实际情况，公司有成熟的市场价格调整机制，会根据生产成本及市场竞争状况及毛利率动态调整产品价格。谢谢！,substantive,unclassified,official interaction without a mapped investable theme,manual review required,higher-official-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2244631118999924736,cninfo_irm
000528.SZ,szse,2243296518220767232,2026-04-11,2026-04-14,你好，贵司发的2025年业绩预告总是否已经不含湖北江汉建筑工程机械有限公司？如果不是，烦请分享一下江汉2025年分季度归母利润。感谢。,您好！自2025年12月起，湖北江汉建筑工程机械有限公司已成为公司参股公司，不再纳入公司合并报表范围，目前该公司作为柳工参股公司，一方面严格按相关制度和流程进行管理，同时对其经营管理给予相应的支持和帮助。谢谢！,substantive,unclassified,official interaction without a mapped investable theme,manual review required,higher-official-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2243296518220767232,cninfo_irm
000528.SZ,szse,2242598233634926592,2026-04-10,2026-04-14,公司4月1号在回复投资者质询时声称：公司近年来在“三全战略”指引下，经营面貌有了极大改观。可二级市场公司股价近年来不涨反跌，与行业的基本面及大盘指数背道而驰。请问董秘：导致公司股价与基本面大相径庭的主要原因是什么？还有你所声称的“近来来公司经营面貌有了极大改观”，既包含去年年报，又包含今年一季报，投资者这样理解应该合理吧？,您好！自2022年混改整体上市以来，尽管行业国内市场需求出现大幅度下降，公司在“三全战略”引领下，经营业绩实现了逐年稳健增长，成功地平滑了行业需求的周期性波动。二级市场股价波动受宏观经济环境、行业周期、市场情绪、资金偏好等多重因素影响，难免会出现波动，请您注意投资风险。谢谢！,substantive,unclassified,official interaction without a mapped investable theme,manual review required,higher-official-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2242598233634926592,cninfo_irm
000528.SZ,szse,2238955448567279616,2026-04-05,2026-04-10,柳工混改补税8.33亿，这个混改当初券商财务顾问是哪家，审计师哪家，税务师哪家？要起诉追讨几家中介机构责任，减少股民损失。,您好！此次控股股东（非上市公司）的补缴税款事项公司将积极跟进事件进展并严格按照相关规定履行信息披露义务。谢谢！,substantive,unclassified,official interaction without a mapped investable theme,manual review required,higher-official-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2238955448567279616,cninfo_irm
000528.SZ,szse,2240247795636711424,2026-04-07,2026-04-07,柳工不会发一季度预报吗？,您好！公司将严格按照证券监管相关规定履行信息披露义务。谢谢！,substantive,unclassified,official interaction without a mapped investable theme,manual review required,higher-official-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2240247795636711424,cninfo_irm
000528.SZ,szse,2301783260975509504,2026-06-29,2026-07-06,面对极端的市场行情和公司严重的低估，柳工为何不真金白银维护公司的市值和形象？,您好！公司持续关注股价波动情况并积极考虑股东对市值管理的诉求。目前公司董事会已通过回购注销议案，将在经股东会审议批准后实施，请您查看公司在巨潮资讯网发布的相关公告。谢谢！,substantive,buyback-shareholder-return,shareholder-return / valuation-support narrative,"needs board approval, execution, and funding visibility",higher-official-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2301783260975509504,cninfo_irm
000528.SZ,szse,2298804812961792000,2026-06-25,2026-07-06,请问公司管理层，目前公司对严重超跌并且破净的股价怎么看？在市值管理方面做了什么？控股股东做了什么？具体罗列出来。谢谢,您好！对于目前的市场走势公司保持高度关注，后续将在市值管理制度的规范指引下，综合考虑实际经营情况及市场变化等因素，运用包括但不限于股份回购、鼓励大股东增持、实施股权激励、优化分红方案、强化投资者关系管理等手段引导公司价值实现。目前公司董事会已通过回购注销议案，将在经股东会审议批准后实施。谢谢！,substantive,buyback-shareholder-return,shareholder-return / valuation-support narrative,"needs board approval, execution, and funding visibility",higher-official-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2298804812961792000,cninfo_irm
000528.SZ,szse,2292994478179827712,2026-06-17,2026-07-06,董秘，你好，我是公司的长期投资者，自公司发布年报/一季报至今，公司股价已大幅下跌超过17%（除权后跌幅14%）年初至今公司跌幅至高达30%，同行业其他公司跌幅，自4.24日至今：三一跌幅5%，徐工跌幅7%，中联跌幅6%，请问公司董秘，公司是否在生产经营，销售回款，海外汇兑中是否存在重大变故？近期公司生产经营如何？主营产品挖机，装载机从接单订单到交货周期多长时间，股价持续下跌，希望公司能考虑回购股份,您好！公司目前生产经营一切正常，不存在经营方面应披露而未披露的重大变化。挖机、装载机的交货周期会受到产线排产、客户额外选配、运输距离及物流等多方面因素影响，目前公司手握充沛的订单，且具备按时交付的能力。公司持续在关注近期证券市场发生的变化，也在积极研究市值管理的可行性方案并按规定披露及实施，近期回购方案将在获得股东会批准后实施，请您参见公告。谢谢！,substantive,buyback-shareholder-return,shareholder-return / valuation-support narrative,"needs board approval, execution, and funding visibility",higher-official-signal,https://irm.cninfo.com.cn/ircs/question/questionDetail?questionId=2292994478179827712,cninfo_irm
